"time"	"choice"	"pair"	"task"	"rater"	"IDl"	"IDr"	"sex"	"ratingl"	"ratingr"	"heightl"	"heightr"	"weightl"	"weightr"	"agel"	"ager"	"heightsl"	"heightsr"	"weightsl"	"weightsr"	"agesl"	"agesr"
8.186	"Lehpet88"	"Jurmar88|Lehpet88"	"body.form"	"R00001"	"Jurmar88"	"Lehpet88"	"F"	2.75	4.45	164.7	176.4	60.6	74.8	28	29	-2.19107340137695	-0.495350711644529	-1.87238410190377	-0.603341419344894	0.231218770757256	0.40178999508638
10.17	"Kovjan85"	"Holvac92|Kovjan85"	"body.form"	"R00001"	"Holvac92"	"Kovjan85"	"F"	5.41	4.51	184.3	173.6	84.4	92	23	32	0.649624437832917	-0.901164688674511	0.254602929427306	0.933808872205296	-0.621637350888362	0.913503668073752
4.668	"Hudjan95"	"Hravoj97|Hudjan95"	"body.form"	"R00001"	"Hravoj97"	"Hudjan95"	"F"	4.97	5.5	177.1	175.7	80.1	76.2	19	21	-0.393897217387035	-0.596804205902026	-0.129684643460243	-0.478224535148948	-1.30392224820486	-0.96277979954661
4.95	"Vavit89"	"Tanske91|Vavit89"	"body.form"	"R00001"	"Tanske91"	"Vavit89"	"F"	4.65	5.49	178.2	177.5	84.7	78.9	24	26	-0.234470297839544	-0.335923792097037	0.281413690326437	-0.236927687056767	-0.451066126559239	-0.109923677900991
6.032	"Dusrad95"	"Zamdan92|Dusrad95"	"body.form"	"R00001"	"Zamdan92"	"Dusrad95"	"F"	3	3.02	175	187.9	68	75.8	23	21	-0.69825770015952	1.17138526544289	-1.2110519997252	-0.51397221634779	-0.621637350888362	-0.96277979954661
1.951	"janbal79"	"janbal79|Holzde94"	"body.form"	"R00001"	"janbal79"	"Holzde94"	"F"	4.65	2.35	187.7	193.4	93.1	96.2	37	22	1.14239855279789	1.96851986318035	1.03211499550211	1.30915952479313	1.76635978971937	-0.792208575217486
0.783	"Ledzde83"	"Kvatom96|Ledzde83"	"body.form"	"R00001"	"Kvatom96"	"Ledzde83"	"F"	4.33	6.49	171.4	186.5	71.5	112.4	19	33	-1.22001852776949	0.9684782769279	-0.898259789235337	2.75694061334622	-1.30392224820486	1.08407489240288
3.626	"Podjak84"	"Maljan91|Podjak84"	"body.form"	"R00001"	"Maljan91"	"Podjak84"	"F"	6.06	4.5	179	185.9	83	79.4	24	31	-0.118523447259548	0.881518138992905	0.12948604523136	-0.192243085558215	-0.451066126559239	0.742932443744628
2.136	"Podjak84"	"Podjak84|Jurmar88"	"body.form"	"R00001"	"Podjak84"	"Jurmar88"	"F"	4.5	2.75	185.9	164.7	79.4	60.6	31	28	0.881518138992905	-2.19107340137695	-0.192243085558215	-1.87238410190377	0.742932443744628	0.231218770757256
4.475	"janbal79"	"Kuzmat95|janbal79"	"body.form"	"R00001"	"Kuzmat95"	"janbal79"	"F"	5	4.65	175	187.7	85.1	93.1	20	37	-0.69825770015952	1.14239855279789	0.317161371525278	1.03211499550211	-1.13335102387573	1.76635978971937
2.939	"Lehpet88"	"Lehpet88|Salpav84"	"body.form"	"R00001"	"Lehpet88"	"Salpav84"	"F"	4.45	3.23	176.4	187.2	74.8	88.3	29	32	-0.495350711644529	1.06993177118539	-0.603341419344894	0.603142821116011	0.40178999508638	0.913503668073752
2.094	"Jurmar88"	"Hormic89|Jurmar88"	"body.form"	"R00001"	"Hormic89"	"Jurmar88"	"F"	3.45	2.75	172	164.7	73.6	60.6	27	28	-1.1330583898345	-2.19107340137695	-0.710584462941419	-1.87238410190377	0.0606475464281327	0.231218770757256
2.215	"Kovjan85"	"Kovjan85|Dusrad95"	"body.form"	"R00001"	"Kovjan85"	"Dusrad95"	"F"	4.51	3.02	173.6	187.9	92	75.8	32	21	-0.901164688674511	1.17138526544289	0.933808872205296	-0.51397221634779	0.913503668073752	-0.96277979954661
1.802	"Peltom81"	"jakkre91|Peltom81"	"body.form"	"R00001"	"jakkre91"	"Peltom81"	"F"	3.59	5.61	187.7	186	108.6	98.8	25	35	1.14239855279789	0.896011495315403	2.41733764195722	1.5415194525856	-0.280494902230115	1.42521734106112
1.487	"Trlmar94"	"Trlmar94|Kvatom96"	"body.form"	"R00001"	"Trlmar94"	"Kvatom96"	"F"	4.99	4.33	183.5	171.4	85.2	71.5	22	19	0.533677587252921	-1.22001852776949	0.326098291824989	-0.898259789235337	-0.792208575217486	-1.30392224820486
2.673	"Holzde94"	"Hnukar88|Holzde94"	"body.form"	"R00001"	"Hnukar88"	"Holzde94"	"F"	3.34	2.35	178.4	193.4	70.6	96.2	28	22	-0.205483585194543	1.96851986318035	-0.978692071932731	1.30915952479313	0.231218770757256	-0.792208575217486
1.832	"Smimar96"	"jakkre91|Smimar96"	"body.form"	"R00001"	"jakkre91"	"Smimar96"	"F"	3.59	4.46	187.7	180.5	108.6	77.2	25	21	1.14239855279789	0.0988768975779417	2.41733764195722	-0.388855332151844	-0.280494902230115	-0.96277979954661
0.503	"janbal79"	"janbal79|Fajjan99"	"body.form"	"R00001"	"janbal79"	"Fajjan99"	"F"	4.65	2.86	187.7	186.2	93.1	78.5	37	18	1.14239855279789	0.9249982079604	1.03211499550211	-0.272675368255609	1.76635978971937	-1.47449347253398
1.333	"Balatt81"	"Svajak84|Balatt81"	"body.form"	"R00001"	"Svajak84"	"Balatt81"	"F"	3.09	5.59	179.4	172.4	68.7	81.1	31	34	-0.0605500219695497	-1.0750849645445	-1.14849355762723	-0.0403154404631386	0.742932443744628	1.254646116732
1.38	"Balatt81"	"Durmic90|Balatt81"	"body.form"	"R00001"	"Durmic90"	"Balatt81"	"F"	3.15	5.59	173.7	172.4	71.9	81.1	25	34	-0.886671332352012	-1.0750849645445	-0.862512108036495	-0.0403154404631386	-0.280494902230115	1.254646116732
