"abr"	"totalGDP"	"population"
"AUS"	1127712.542	23932.5
"AUT"	431091.5577	8678.67
"BEL"	521017.5628	11287.93
"CAN"	1594899.224	36026.67
"CZE"	355311.7368	10601.39
"DNK"	278823.1533	5688.7
"FIN"	233074.434	5481.13
"FRA"	2719224.521	64453.19
"DEU"	3895125.928	81787.41
"GRC"	291109.1186	10659.74
"HUN"	262494.2728	9777.93
"ISL"	16161.7503	330.24
"IRL"	324698.4755	4652.42
"ITA"	2241523.743	60578.49
"JPN"	5136018.778	127985.14
"KOR"	1933849.12	25183.83
"LUX"	59096.8688	566.74
"MEX"	2228163.875	121858.25
"NLD"	852113.2649	16938.49
"NZL"	172224.6753	4614.53
"NOR"	313314.6431	5199.83
"POL"	1020174.11	38034.08
"PRT"	307312.4403	10368.35
"SVK"	162302.6353	5435.61
"ESP"	1621504.772	46671.92
"SWE"	479915.1677	9764.95
"CHE"	529567.772	8296.78
"TUR"	2012361.781	78529.41
"GBR"	2768619.39	65860.15
"USA"	18224780	320878.31
"CHL"	407688.8609	17969.36
"CHN"	19820982.32	1406847.87
"COL"	665581.7606	47520.67
"EST"	38669.2233	1315.33
"IND"	8031753.975	1310152.39
"IDN"	2858510.035	258383.26
"ISR"	296964.0155	7978.5
"RUS"	3522689.292	144985.06
"SVN"	65283.4203	2071.2
"ZAF"	730625.3982	55386.37
"EU28"	19761411.21	NA
"OECD"	53055027.22	NA
"OECDE"	21932726.13	NA
"LVA"	49103.8243	1997.68
"BRA"	3233490.642	204471.76
"LTU"	83730.5611	2931.87
"SAU"	1709517.102	31717.68
"EA19"	13939056.27	NA
"ARG"	886440.9706	43075.42
"CRI"	75678.4843	4847.81
"BGR"	131658.9973	7199.74
"HRV"	96740.099	4232.87
"CYP"	26889.8279	1160.99
"MLT"	16110.1772	433.56
"ROU"	428644.5781	19925.18
"MKD"	28759.5771	2079.34
"ZMB"	62184.1302	15879.37
